_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
056.1407693734367	+31.9750797729372	056.14079588350	0.3242	+31.97504594419	0.1349	216627812425858432	2.8710	0.3193	5.223	0.694	-7.857	0.375	0	1.3841e+03	2.7767e+01	17.8355	0.0218	1.3639e+02	1.2115e+01	20.0144	0.0964	2.3623e+03	1.4018e+02	16.3286	0.0644	3.6859							
056.2136633682903	+31.9869091929182	056.21367674940	0.9994	+31.98690970528	0.4143	216629113800124544	-0.9963	0.9072	2.636	1.990	0.119	1.074	0	1.7216e+02	9.4919e-01	20.0985	0.0060	6.6967e+01	1.1050e+01	20.7867	0.1792	2.7039e+02	1.4392e+01	18.6819	0.0578	2.1048							
056.2197107946229	+32.0157006509174	056.21973645319	0.1829	+32.01566771342	0.0787	216629530412699008	3.4062	0.1702	5.053	0.423	-7.650	0.230	0	5.6711e+03	6.4783e+00	16.3042	0.0012	5.3559e+02	1.0093e+01	18.5293	0.0205	8.7798e+03	3.6788e+01	14.9032	0.0045	3.6261			3496.43	2.1027	1.2005	0.58	0.046
056.2545074871248	+32.0405655071199	056.25453161872	0.3843	+32.04053359865	0.1582	216629732274649856	2.7968	0.3897	4.751	0.883	-7.411	0.456	0	8.5385e+02	1.5964e+00	18.3599	0.0020	8.0979e+01	7.4901e+00	20.5805	0.1004	1.4855e+03	1.0902e+01	16.8323	0.0080	3.7482							
056.2677385785280	+32.0515453291477	056.26775609394	0.2295	+32.05151511276	0.1061	216629874010076544	2.8970	0.2724	3.448	0.493	-7.018	0.291	0	1.5402e+03	2.1607e+00	17.7194	0.0015	1.5740e+02	6.2638e+00	19.8589	0.0432	2.4166e+03	1.1277e+01	16.3039	0.0051	3.5550							
056.2726011917357	+32.0522027883282	056.27262238513	0.3780	+32.05217116833	0.1666	216629869714526464	3.5633	0.4493	4.172	0.777	-7.344	0.460	0	6.5388e+02	4.1530e+00	18.6496	0.0069	1.0967e+02	1.3267e+01	20.2511	0.1313	1.3496e+03	2.3626e+01	16.9364	0.0190	3.3147							
056.2740247906534	+32.0522264976992	056.27405264890	0.0629	+32.05220013048	0.0267	216629874010075776	3.2539	0.0762	5.484	0.135	-6.124	0.079	1	2.6827e+04	1.3228e+01	14.6169	0.0005	6.3286e+03	2.1406e+01	15.8481	0.0037	3.1831e+04	3.8741e+01	13.5048	0.0013	2.3433			3787.33			1.02	0.193
056.2558871077398	+32.0838162003260	056.25590812044	0.0622	+32.08379161130	0.0304	216630144591496832	3.0209	0.0756	4.135	0.126	-5.711	0.099	1	1.5938e+05	5.8056e+01	12.6823	0.0004	5.2624e+04	9.8089e+01	13.5484	0.0020	1.6090e+05	1.2911e+02	11.7455	0.0009	1.8029			3951.67			2.32	1.187
056.2632693014386	+32.0681910277111	056.26327229403	0.1393	+32.06817509285	0.0609	216630080168504192	0.4825	0.1629	0.589	0.294	-3.701	0.168	0	7.1369e+03	5.0546e+00	16.0546	0.0008	8.5675e+02	8.6293e+00	18.0192	0.0109	1.0677e+04	2.6654e+01	14.6908	0.0027	3.3284			4422.24	2.9130	1.4680		
056.2410190503904	+32.0670977028137	056.24104096362	0.2030	+32.06706704726	0.0918	216630114528244480	3.0688	0.2405	4.313	0.444	-7.120	0.254	0	2.2987e+03	3.0802e+00	17.2847	0.0015	2.1722e+02	1.0532e+01	19.5091	0.0526	3.6866e+03	1.5895e+01	15.8454	0.0047	3.6638							
