# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Nov  7 20:56:06 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   [3.6]mag  [4.5]mag  [5.8]mag  [8.0]mag  [24]mag  [70]mag  [160]mag
0.0152 0.01508 6.69897 0.0951665044 1.1294131285    0.095 -1.778  3.4083  3.780    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.79e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.216 7.105 6.544 6.184 5.714 5.570 5.507 5.411 4.768 4.728 4.737
0.0152 0.01508 6.69897 0.0990788862 1.1633656347    0.099 -1.762  3.4099  3.788    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.89e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.175 7.063 6.503 6.143 5.672 5.529 5.466 5.370 4.728 4.688 4.697
0.0152 0.01508 6.69897 0.1031958088 1.1972607474    0.103 -1.739  3.4124  3.792    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.17e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.117 7.005 6.445 6.085 5.615 5.472 5.409 5.313 4.671 4.631 4.640
0.0152 0.01508 6.69897 0.1125131696 1.2678708900    0.112 -1.691  3.4172  3.801    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.7e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.998 6.888 6.327 5.969 5.501 5.358 5.296 5.201 4.559 4.520 4.530
0.0152 0.01508 6.69897 0.1258938164 1.3569639539    0.126 -1.636  3.4229  3.817    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.860 6.757 6.195 5.842 5.382 5.240 5.179 5.086 4.448 4.410 4.427
0.0152 0.01508 6.69897 0.1347586662 1.4094737284    0.135 -1.598  3.4268  3.825    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.766 6.670 6.108 5.759 5.305 5.163 5.103 5.013 4.378 4.341 4.364
0.0152 0.01508 6.69897 0.1476062685 1.4780881331    0.148 -1.547  3.4325  3.836    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.637 6.551 5.987 5.646 5.202 5.060 5.002 4.917 4.287 4.252 4.282
0.0152 0.01508 6.69897 0.1567201465 1.5222202312    0.157 -1.514  3.4362  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.554 6.474 5.909 5.573 5.136 4.995 4.939 4.856 4.229 4.195 4.229
0.0152 0.01508 6.69897 0.1694417149 1.5785328504    0.169 -1.461  3.4428  3.851    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.423 6.353 5.786 5.459 5.035 4.896 4.842 4.763 4.142 4.110 4.152
0.0152 0.01508 6.69897 0.1817221195 1.6279085777    0.182 -1.416  3.4482  3.858    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.309 6.248 5.679 5.359 4.946 4.809 4.756 4.681 4.064 4.036 4.083
0.0152 0.01508 6.69897 0.1963359565 1.6812986505    0.196 -1.374  3.4525  3.867    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.206 6.153 5.582 5.268 4.864 4.728 4.677 4.604 3.992 3.965 4.018
0.0152 0.01508 6.69897 0.2135923505 1.7380547218    0.214 -1.322  3.4589  3.877    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.075 6.034 5.459 5.155 4.764 4.630 4.580 4.512 3.905 3.882 3.943
0.0152 0.01508 6.69897 0.2313415259 1.7905279096    0.231 -1.272  3.4648  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.950 5.920 5.340 5.044 4.667 4.536 4.488 4.422 3.821 3.802 3.868
0.0152 0.01508 6.69897 0.2493823618 1.8387555452    0.249 -1.232  3.4693  3.896    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.850 5.828 5.243 4.954 4.588 4.458 4.412 4.349 3.752 3.736 3.806
0.0152 0.01508 6.69897 0.2689957321 1.8862912949    0.269 -1.183  3.4756  3.905    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.728 5.718 5.126 4.846 4.494 4.368 4.323 4.263 3.672 3.661 3.737
0.0152 0.01508 6.69897 0.2957793474 1.9443833818    0.296 -1.124  3.4829  3.917    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.581 5.587 4.985 4.715 4.380 4.257 4.212 4.155 3.571 3.568 3.653
0.0152 0.01508 6.69897 0.3000000119 1.9529139769    0.300 -1.116  3.4839  3.919    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.560 5.569 4.966 4.697 4.364 4.242 4.197 4.139 3.556 3.555 3.641
0.0152 0.01508 6.69897 0.3169916868 1.9857413396    0.317 -1.081  3.4887  3.927    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.473 5.493 4.883 4.620 4.297 4.177 4.131 4.074 3.496 3.501 3.593
0.0152 0.01508 6.69897 0.3500000238 2.0434175133    0.350 -1.018  3.4970  3.939    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.21e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.314 5.354 4.730 4.476 4.174 4.062 4.017 3.963 3.394 3.409 3.507
0.0152 0.01508 6.69897 0.3551442623 2.0517691183    0.355 -1.009  3.4981  3.942    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.292 5.335 4.709 4.456 4.157 4.047 4.002 3.949 3.381 3.396 3.496
0.0152 0.01508 6.69897 0.4000000358 2.1185024810    0.400 -0.934  3.5082  3.959    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.106 5.172 4.529 4.286 4.013 3.915 3.872 3.823 3.267 3.292 3.398
0.0152 0.01508 6.69897 0.4060827792 2.1268013131    0.406 -0.925  3.5096  3.962    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.081 5.152 4.506 4.264 3.994 3.898 3.856 3.807 3.253 3.279 3.386
0.0152 0.01508 6.69897 0.4500000477 2.1822809714    0.450 -0.854  3.5200  3.977    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.906 5.003 4.339 4.104 3.860 3.779 3.737 3.691 3.149 3.187 3.300
